Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Backdrop_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_TMDB;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
İçerde;Icerde (Adentro);TMDB;2016 - 2017;Sarp es un exitoso estudiante de la academia de policía que sueña con ser un detective. Su familia tiene un pasado oscuro, su padre trabajaba para la mafia y fue a prisión cuando Sarp era un niño. Luego su hermano de 3 años, Umut, es secuestrado por ordenes del jefe de la mafia Celal. Años más tarde y sin saber que son hermanos, se conocen en la academia policial y no se llevan bien. Sarp va a prisión por un periodo de un año debido a un plan secreto creado por el jefe policial Yusuf. Umut es ahora Mert, quien no recuerda nada de su pasado antes del secuestro. Él es policía y es cercano a Celal y a su hija adoptiva Melek.;https://image.tmdb.org/t/p/original/63v7p8t5sShiCGRLzePlgCu6TNj.jpg;https://image.tmdb.org/t/p/original/ex0PAmD0YpM36GKjJrEIMC3JdWD.jpg;Action & Adventure, Drama, Crimen;7.9;1;39;https://www.themoviedb.org/tv/68388;T1:39;Çağatay Ulusoy (Sarp Yılmaz), Aras Bulut İynemli (Mert / Umut), Çetin Tekindor (Celal Duman), Nihal Koldaş (Füsun Yılmaz), Damla Colbay (Eylem), Bensu Soral (Melek);https://image.tmdb.org/t/p/w185/6anWOhuVKq64zoL2YCEN043B3SP.jpg, https://image.tmdb.org/t/p/w185/bAWgmcF26tPZv4gcwc9jmaNB9py.jpg, https://image.tmdb.org/t/p/w185/u2CKvpnN8dmdKgFApFGjueCoT1z.jpg, https://image.tmdb.org/t/p/w185/k3VcXQtQtanvidD0kYhmSAUu6Tu.jpg, https://image.tmdb.org/t/p/w185/6mwq4NRlSWPIznVSxsR4s0Gwn7X.jpg, https://image.tmdb.org/t/p/w185/ti3PfqOgXmbJIQtwQl1yH5i1WnU.jpg;Creador: Toprak Karaoglu | Director: Uluç Bayraktar;The Pit, Sıfır Bir, Némesis, Leyendas, ¿Quién es Erin Carter?;https://www.youtube.com/watch?v=g-GLHdiTkt8
Agentes Implicados;Agentes Implicados;TMDB;2018 - 2019;Muhtesem Ikili (La Dupla Perfecta) es una adaptación de la famosa película estadounidense, Tango y Cash. Una historia de dos oficiales de policía Mert Barca y Mustafa Kerim Can / MKC. Barca y MKC, se ven obligados a unirse para una operación de drogas. Son conocidos por su rivalidad y por tener enemigos en común.;https://image.tmdb.org/t/p/original/fMnSwwMrllfbUjkT1fAjTID6G6B.jpg;https://image.tmdb.org/t/p/original/j55fkH4K0wWSBt1FAtRD8UFHCli.jpg;Drama, Crimen, Acción;7.0;1;12;https://www.themoviedb.org/tv/83087;T1:12;İbrahim Çelikkol (Mert Barca), Kerem Bürsin (Mustafa Kerim Can), Özge Gürel (Nilüfer Can), Öykü Karayel (Yağmur Can), Engin Şenkan (Feridun Barca), Zafer Algöz (Yüksel);https://image.tmdb.org/t/p/w185/8kvbL2u92TcEMUntyGNzJEXVN7u.jpg, https://image.tmdb.org/t/p/w185/aEVh7OLO0R2ggKNhAeuTKhrnhe4.jpg, https://image.tmdb.org/t/p/w185/wG3yehWuT6e1JYJTQ9D0NXIHUoO.jpg, https://image.tmdb.org/t/p/w185/rzMUT2OMgnlsDLKUIdPDM0q2mgf.jpg, https://image.tmdb.org/t/p/w185/o5sfViYnDDYLt9OKSFM824SugtU.jpg, https://image.tmdb.org/t/p/w185/w1Rai0k7OWpb2jd3UM2SKlqlODK.jpg;Creador: Emre Özdür, Başar Başaran | Director: Çağatay Tosun;Eshref Ruya, Eternidad, The Sweeney, El centinela, Walker;
Alef;Alef;TMDB;2020 - 2022;Cuando el detective de homicidios cercano a la jubilación Settar Öztürk se le asigna un caso final con su compañero de caso Kemal McAllister, descubren una serie de asesinatos despiadados y operose. Pronto descubren que se trata de un asesino en serie cuyos motivos están relacionados con la herejía y el sufismo islámicos. A medida que el caso se desenreda, los detectives descubren que resolver el caso no es su único papel en esta imagen.;https://image.tmdb.org/t/p/original/6CyNjKgbgs6dTBKNkUJsEfMnX1B.jpg;https://image.tmdb.org/t/p/original/xmbpuuDzaWqEFc28uDbHjUzrnXk.jpg;Crimen, Drama, Misterio, Acción;7.4;2;16;https://www.themoviedb.org/tv/99815;T1:8|T2:8;Kenan İmirzalıoğlu (Kemal), Ahmet Mümtaz Taylan (Settar), Melisa Sözen (Yaşar), Sevinç Kumaş (Avukat), Müfit Kayacan (Arap), Ercan Kesal;https://image.tmdb.org/t/p/w185/c94CqMj4HxB52K766JkZo0B2x7M.jpg, https://image.tmdb.org/t/p/w185/7BcirImyPmuD8PxMVKPx6xefunW.jpg, https://image.tmdb.org/t/p/w185/c0yFUMePzSfU4HONDIRGGcqtyt4.jpg, https://image.tmdb.org/t/p/w185/si1CUdOJpEw9GfWmWbOjVaefU7I.jpg, https://image.tmdb.org/t/p/w185/2QVDWWQj45uOgnD2DUkB1tC5LWt.jpg, https://image.tmdb.org/t/p/w185/krKWIjwR9oDRP3YWET81hsx4SwX.jpg;Creador: Emre Kayiş | Director: Emin Alper;Cross, The Pit, L.A.'s Finest. Policías de Los Ángeles, La Estepa, Crimen, de Irvine Welsh;https://www.youtube.com/watch?v=83le7_jzsSM
Amar Es Primavera;Amar es primavera;TMDB;2014 - 2016;Öykü es una modesta joven que vive con su madre, Meral, y su hermano pequeño, Cem. Es una prometedora diseñadora de modas con grandes ambiciones dentro de la industria. Desde su niñez ha estado enamorada de Mete, pero él se enamora de su mejor amiga, Şeyma. La vida acercará a Öykü con Ayaz, el mejor amigo de Mete e hijo de su diseñadora favorita.;https://image.tmdb.org/t/p/original/yNAjs9Vo1hk6wfc6vAcbyXA8TUr.jpg;https://image.tmdb.org/t/p/original/dISG8n6sV8nRawZgfMeyEdZYUYI.jpg;Comedia;5.8;2;59;https://www.themoviedb.org/tv/62217;T1:51|T2:8;Özge Gürel (Öykü Acar), Serkan Çayoğlu (Ayaz Dinçer), Nilperi Şahinkaya (Şeyma Çetin), Dağhan Külegeç (Mete Uyar), Nihal Işıksaçan (Burcu Uyar), Fatma Toptaş (Sibel Korkmaz);https://image.tmdb.org/t/p/w185/wG3yehWuT6e1JYJTQ9D0NXIHUoO.jpg, https://image.tmdb.org/t/p/w185/ryi7hQzOvxEzuy2Vr7DC378LlhR.jpg, https://image.tmdb.org/t/p/w185/vUXeztVZDlmtsIcXW4uHXHqiWDF.jpg, https://image.tmdb.org/t/p/w185/dKqxaAiOF5yfoUp8jAA3oj5Pmxt.jpg, https://image.tmdb.org/t/p/w185/3TaJ5gixofNjb7Ba7vFXPU1qB82.jpg, https://image.tmdb.org/t/p/w185/3fZkhxCDvmSfmECV9ixGlaf5xgc.jpg;Creador: Aslı Zengin | Director: Mustafa Şevki Doğan;¿Quién es el jefe?, Coach, Suburgatory (Fuera de lugar), Love, American Style, Saved by the Bell: The New Class;
Amar y vivir;Amar y Vivir;TMDB;2020 - 2021;Irene, la cantante principal de la banda del mercado 'Los Milagrosos', conoce a Joaquín el mecánico, cuando llega a la ciudad con nada más que la ropa que lleva puesta. Mientras luchan por sus sueños, se cruzan en su camino. Pronto se darán cuenta de que no pueden vivir el uno sin el otro, aunque su lucha por estar juntos será intensa y dolorosa.;https://image.tmdb.org/t/p/original/jjmLFjKKnxyRq07lyD29wPbRM2d.jpg;https://image.tmdb.org/t/p/original/v6gog3v6BjTrXhsaVfTCDHurFLe.jpg;Drama;7.563;1;69;https://www.themoviedb.org/tv/103086;T1:69;Ana María Estupiñán (Irene Romero), Carlos Torres (Joaquin Herrera), Mario Duarte (Delio Villamizar), Juan Millan (Bryan Portilla), Vilma Vera (Elena), Alex Paez (Humberto);, https://image.tmdb.org/t/p/w185/2f2HhlZWaHao1vaPPJVl9hIXbFg.jpg, https://image.tmdb.org/t/p/w185/cD4YBg8UayOPv9D0wlpiS4esj8z.jpg, https://image.tmdb.org/t/p/w185/85WkwaiBgqFecAk83FitvP4orel.jpg, https://image.tmdb.org/t/p/w185/k40zjva1ORo0BeDZ8el5FxJUGPW.jpg, ;Director: Liliana Bocanegra, Santiago Vargas;Parish, Rosario Tijeras, Perfil falso, The Newsreader, Bloom;
Amor en Blanco y Negro;Amor en blanco y negro;TMDB;2017 - 2018;Una doctora que se ha dedicado a curar a otros se encuentra con un asesino de sangre fría con un pasado herido. ¿Qué sucede cuando la mujer que salva vidas es capturada por el hombre que las toma?;https://image.tmdb.org/t/p/original/lOine64F8E0rpOPdNZRRhylVelW.jpg;https://image.tmdb.org/t/p/original/kiJQB753D1wvaX36bFHBHVdBMlP.jpg;Drama, Acción;7.9;1;32;https://www.themoviedb.org/tv/76530;T1:32;İbrahim Çelikkol (Ferhat Aslan), Birce Akalay (Aslı Çınar), Muhammet Uzuner (Namık Emirhan), Arzu Gamze Kılınç (Yeter Aslan), Ece Dizdar (İdil Yaman), Deniz Celiloğlu (Yiğit Aslan);https://image.tmdb.org/t/p/w185/8kvbL2u92TcEMUntyGNzJEXVN7u.jpg, https://image.tmdb.org/t/p/w185/nCT33wbP9uRyS8m5nBLfmmz0CI4.jpg, https://image.tmdb.org/t/p/w185/tC4bTcVsxUPZOVcESNuuQ7pkK7Q.jpg, https://image.tmdb.org/t/p/w185/1zBoepgQtswAOGSVIIJz9wRZdki.jpg, https://image.tmdb.org/t/p/w185/pS40WPZV6fo6bdkzmYHFgQ7uOUC.jpg, https://image.tmdb.org/t/p/w185/dZ7HWUapsnEO6ucbjb4i3rB3Xad.jpg;Creador: Sema Ergenekon, Eylem Canpolat | Director: Emir Khalilzadeh;La señora Fazilet y sus hijas, Las mil y una noches, Infiel, The Resident, Kuzey Güney;
Ana De Nadie;Ana de nadie;TMDB;2023 - 2023;Esta es la historia de Ana, una mujer que después de 25 años de casada decide separarse de su esposo infiel, dándose la oportunidad de vivir nuevas experiencias.;https://image.tmdb.org/t/p/original/9HMJ9bLOVCqsnGNryCFklvG20Sd.jpg;https://image.tmdb.org/t/p/original/2fdTQNSD5CMfeG3KtgUAzK56aJb.jpg;Telenovela, Drama;7.991;1;94;https://www.themoviedb.org/tv/221573;T1:94;Paola Turbay (Ana Ocampo Franco de Valenzuela), Sebastián Carvajal (Joaquín Cortés), Jorge Enrique Abello (Horacio Valenzuela), Laura Archbold (Adelaida Gómez), Carlos Báez (Pedro Valenzuela Ocampo), Ilenia Antonini (Florencia Valenzuela Ocampo);https://image.tmdb.org/t/p/w185/pbseUZeYvdx40IneUn2Esnws2RY.jpg, https://image.tmdb.org/t/p/w185/cBaHCzpZe27KzWviS41heE01sSe.jpg, , https://image.tmdb.org/t/p/w185/f7ILXMhJE2rFBvcv6MgDFzIGpjZ.jpg, https://image.tmdb.org/t/p/w185/aLErgeq20TWdkATnQJh1MOWLjLf.jpg, https://image.tmdb.org/t/p/w185/nlUokluGNwPZQLFfy0YStO7l6MQ.jpg;Creador: Bernardo Romero Pereiro, Mónica Agudelo | Director: Olga Lucia Rodríguez, Luis Carlos Sierra;Valle salvaje, Doménica Montero, Señora Acero, Tyler Perry's The Haves and the Have Nots, Hasta que la plata nos separe;
Aurora;Aurora;TMDB;2010 - 2011;Después de haber estado congelada criogénicamente durante 20 años, el corazón de Aurora se debatía entre el pasado y el presente: recuerdos de un viejo amor y la oportunidad de uno nuevo.;https://image.tmdb.org/t/p/original/sAfj9bfJ9c0jf2lPl14oISIEfJp.jpg;https://image.tmdb.org/t/p/original/ykjg8d26J0sqdj9YU4dkmx8uCMn.jpg;Misterio, Telenovela, Drama, Crimen;7.38;1;135;https://www.themoviedb.org/tv/34035;T1:135;Sara Maldonado (Aurora Ponce de León Paterson), Eugenio Siller (Martín Lobos / Lorenzo Lobos (joven)), Sonya Smith (Ángela Amenabar), Jorge Luis Pila (Lorenzo Lobos), Aylín Mújica (Vanessa Miller Quintana viuda de Hutton), Lisette Morelos (Blanca Ponce de León Paterson / Blanca Lobos Ponce de León);https://image.tmdb.org/t/p/w185/rKAGanQJqldEr8t36oLLfTmtelr.jpg, https://image.tmdb.org/t/p/w185/3Whi7GaRLJnvEoRrxdsmobTDoZZ.jpg, , https://image.tmdb.org/t/p/w185/wauffUM1uDgwo6mVu2rZ9ecODKS.jpg, https://image.tmdb.org/t/p/w185/mviCXW3u2xKOD5xLZccTgdx3Kfh.jpg, https://image.tmdb.org/t/p/w185/ppNJngO5Tth4i3RRWOVHvkSnxFm.jpg;Creador: Marcela Citerrio | Director: David Posada, Otto Rodríguez;La promesa, Gran Hotel, Agatha Christie: Miss Marple, Baretta, El robo;
Avenida Brasil;Avenida Brasil;TMDB;2012 - 2012;Esta es la dramática historia de Rita, que lucha por recuperar parte de la vida que su terrible madrastra, Carmina, le robó cuando todavía era solo una niña. Pero ella tendrá que enfrentarse a su pasado y decidir hasta dónde está dispuesta a llegar para vengarse de los que más le hicieron daño.;https://image.tmdb.org/t/p/original/p8uzK1Lngu9q9dpnn4SwPKIT1H7.jpg;https://image.tmdb.org/t/p/original/5ssgDp28z1Nif6hR8OFrNQUspd4.jpg;Telenovela, Drama, Misterio, Crimen;8.113;1;179;https://www.themoviedb.org/tv/45815;T1:179;Débora Falabella (Nina García Hernández / Rita Fonseca de Souza), Adriana Esteves (Carmem Lúcia Moreira de Araújo (Carminha)), Murilo Benício (Jorge Araújo (Tufão)), Cauã Reymond (Jorge Araújo Filho (Jorginho) / Cristiano Moreira / Batata), Marcello Novaes (Maxwell Pereira Oliveira (Max)), Vera Holtz (Lucinda Pereira Oliveira (Mãe Lucinda));https://image.tmdb.org/t/p/w185/vgJVa3mFtNSmeYUQuUslDglPrEp.jpg, https://image.tmdb.org/t/p/w185/7iN3zKFjKzIQhRQz8Ouiv966IwA.jpg, https://image.tmdb.org/t/p/w185/l8ZZQ1U1kSnfBhx1hEPOTRbu7ln.jpg, https://image.tmdb.org/t/p/w185/iG8EmXJsrqtfIonw9RHOX64aNJ9.jpg, https://image.tmdb.org/t/p/w185/6jezrK28xW9C12htkh3Aeyp8DpC.jpg, https://image.tmdb.org/t/p/w185/xXNXXlwSZyi1YPLThJ2eAwYCOss.jpg;Creador: João Emanuel Carneiro | Director: André Câmara, Paulo Silvestrini;Land of Desire, La favorita, Rastros de Mentiras, Manía de Ti, Rebirth;
Belleza Fatal;Belleza fatal;TMDB;2025 - 2025;La trama gira en torno a una historia de búsqueda de justicia que tiene lugar en el bullicioso mundo de los tratamientos de belleza y estética.;https://image.tmdb.org/t/p/original/6cth8WrDsVPSHfXzfX5PHY7yvs9.jpg;https://image.tmdb.org/t/p/original/rdeEKPvdDKt5b5lcY3bHsUfrwjU.jpg;Telenovela, Drama, Misterio, Crimen;8.2;1;40;https://www.themoviedb.org/tv/158596;T1:40;Camila Queiroz (Sofia Fernandes / Júlia Guimarães), Camila Pitanga (Lola Argento), Giovanna Antonelli (Elvira Paixão), Caio Blat (Benjamin Argento), Marcelo Serrado (Rog (Dr. Peitão)), Julia Stockler (Gisela Argento);https://image.tmdb.org/t/p/w185/vI7soPfMSHoPokcB4VNfrdjH9UN.jpg, https://image.tmdb.org/t/p/w185/cKk8eEt55ytMdc6vEgDWWHgKdkZ.jpg, https://image.tmdb.org/t/p/w185/ycbdBnoMHTLDc5DL2ATCkefPjzo.jpg, https://image.tmdb.org/t/p/w185/1mzdCl1OtMlnFwxlYlMNeJ94zjw.jpg, https://image.tmdb.org/t/p/w185/mcOfeFNzVfmBCgnGNslo1IlZUBR.jpg, https://image.tmdb.org/t/p/w185/eqcYoWiQJWL30FguBP02M3p8yXx.jpg;Creador: Raphael Montes | Director: Giovanna Machline, Matheus Senra;La purga, La muerte y esas cosas, Sherlock & Daughter, Tell Me Lies, Asesina a sueldo;
Caer en Tentacion;Caer en tentación;TMDB;2017 - 2018;Raquel y Damián están felizmente casados ​​y tienen dos hijos. El destino lleva a Damián a conocer a Carolina y siente una atracción innegable hacia ella. Damián desconocía que Carolina ya estaba casada con Santiago Álvarado, un arquitecto con quien tiene dos hijos. Cuando Raquel deja a su hijo Fede en la escuela, accidentalmente choca su auto contra la camioneta de Santiago, y se dan cuenta de que sus hijos se conocen. Raquel se ofrece a pagar los daños, pero Santiago se niega. Raquel insiste y va a la casa de los Álvarado con Damián. Las dos parejas se hacen muy amigas. Pero el deseo entre Damián y Carolina es más fuerte que su compromiso matrimonial y ambos deciden engañar a sus respectivas parejas. Damián y Carolina sufren un terrible accidente automovilístico. Los rescatistas solo encuentran a Damián gravemente herido, y Carolina ha desaparecido misteriosamente del lugar. Durante la investigación policial, Raquel y Santiago descubren que sus parejas son amantes.;https://image.tmdb.org/t/p/original/2E8bvsc30vIglIAWuK3TW0hqdJ3.jpg;https://image.tmdb.org/t/p/original/8BH6d9B6flO2gOeEjWaE6UfmJ1c.jpg;Drama, Telenovela;7.773;1;103;https://www.themoviedb.org/tv/82515;T1:103;Silvia Navarro (Raquel Cohen), Gabriel Soto (Damián Becker), Adriana Louvier (Carolina Rivas), Carlos Ferro (Santiago Álvarado), Arath de la Torre (Andrés Becker), Julieta Egurrola (Miriam de Becker);https://image.tmdb.org/t/p/w185/tYkCV1MsqXtXZ7A9SnCwfuw1hU1.jpg, https://image.tmdb.org/t/p/w185/uLSZhvBvkkDg42Z2fsHLQXGFAZu.jpg, https://image.tmdb.org/t/p/w185/5f3KNlFRnQD8NwTYhRE9gTHNf1V.jpg, , https://image.tmdb.org/t/p/w185/qB6D0UxHUDZFpzUm9kWfKugblau.jpg, https://image.tmdb.org/t/p/w185/oxe09l6zAYcXZuCEfQTS6h9zE6K.jpg;Creador: Leonardo Bechini, Erika Halvorsen | Director: Eric Morales;Destilando amor, Mar de Amor, La Patrona, Dulce Desafío, Lo Que La Vida Me Robó;
Café, con aroma de mujer;Café con aroma de mujer;TMDB;2021 - 2021;Como todos los años, Gaviota y su mamá llegan a la Hacienda Casablanca a recoger el café de la segunda cosecha del año, pero este octubre tienen esperanza de que sea el último, pues a partir de ahora serán dueñas de su propia tierra. Sin embargo, el destino tiene otros planes.;https://image.tmdb.org/t/p/original/ztyJqTdS7RApGgl6ZXmFdGZX3g0.jpg;https://image.tmdb.org/t/p/original/nlor5UKEkOuARd6YcltbeVyOgUz.jpg;Telenovela;7.303;1;92;https://www.themoviedb.org/tv/124124;T1:92;Luis Eduardo Motoa (Octavio Vallejo), Maria Teresa Barreto (Marcela Vallejo), William Levy (Sebastian Vallejo), Laura Londoño (Gaviota), Carmen Villalobos (Lucia Sanclemente), Diego Cadavid (Iván Vallejo);https://image.tmdb.org/t/p/w185/bH7vgGGjCGhGXe6hNWpzsGGbE2F.jpg, https://image.tmdb.org/t/p/w185/tNpkZoYdQXytzGWjQkiX5uAZ0f7.jpg, https://image.tmdb.org/t/p/w185/dqFP6DYo2tJhFpQ4dopdrltjNcd.jpg, https://image.tmdb.org/t/p/w185/qlIvmFOOIbvxfOZqUFyfqaBkRBJ.jpg, https://image.tmdb.org/t/p/w185/duCB3x5NvHKIL9ERZzNhs469jHH.jpg, https://image.tmdb.org/t/p/w185/wkZJ5hYJ8VmO3dtSfsIIqJngZJL.jpg;Creador: Adriana Suarez;Victorinos, Preso No. 1, Valle salvaje, Betty la fea, la historia continúa, Tyler Perry's The Haves and the Have Nots;
Calendario;Calendario;TMDB;2022 - 2022;Una maestra joven de español-Literatura, llamada Amalia (Clarita García), en franco antagonismo con un grupo de muchachos del 9no grado de una secundaria aborda los conflictos con un método muy de ella, luego están los padres y familiares, así que lo fundamental está en la interacción entre esa profesora y sus alumnos. Había sido una niña con problemas de conducta, y gracias a la constancia de su maestra, fue “rescatada”. En agradecimiento, estudia magisterio y regresa a la misma escuela para enfrentar conflictos semejantes a los de su propio pasado. Y en el peor grupo, el 9no 3.;https://image.tmdb.org/t/p/original/75m3Q2zlyPjQTkp2TwGB3uQb3SK.jpg;Drama;7.0;1;13;https://www.themoviedb.org/tv/195089;;T1:13;;;Creador: Magda González Grau;;
Doctor Milagro;Doctor Alí;TMDB;2019 - 2021;El joven Ali Vefa, abandonado de niño por su padre, logra convertirse en médico y se une al equipo de cirugía de un hospital. Pero sus relaciones interpersonales y profesionales se ven afectadas por el síndrome del sabio.;https://image.tmdb.org/t/p/original/yAUXj0sHwsWEmIMWEUD0oBzLRIM.jpg;https://image.tmdb.org/t/p/original/j9orEeA4twmIEQtHdaAW0L1L7nE.jpg;Drama;8.063;2;64;https://www.themoviedb.org/tv/92967;T1:28|T2:36;Taner Ölmez (Dr. Ali Vefa), Onur Tuna (Dr. Ferman Eryiğit), Sinem Ünsal (Dr. Nazlı Gülengül), Hazal Türesan (Beliz Boysal), Murat Aygen (Dr. Tanju Korman), Fırat Altunmeşe (Dr. Demir Aldırmaz);https://image.tmdb.org/t/p/w185/QG3bNfNw5aRqEzhttSIEey4nBt.jpg, https://image.tmdb.org/t/p/w185/kSxQUj9iampPna4XyuFfDvDEFcx.jpg, https://image.tmdb.org/t/p/w185/z7LF1TP34VGJiL3bwxNHJHRCPQE.jpg, https://image.tmdb.org/t/p/w185/i6g679VSuNgGvcEb5ioJHFDXTdf.jpg, https://image.tmdb.org/t/p/w185/52rOMVqVfaJYQX8TF3gWzKMHHDK.jpg, https://image.tmdb.org/t/p/w185/8O6ieajU2tdcZdoTMDwrOaTQO5P.jpg;Director: Aytaç Çiçek, Yusuf Pirhasan;The Resident, Casualty, Chicago Hope, Heartbeat, Hawthorne;
Hekimoğlu;Doctor Hekimoğlu;TMDB;2019 - 2021;Ates Hekimoglu es un médico exitoso de unos 40 años. Trabaja como especialista en enfermedades infecciosas y nefrología en el hospital donde su amiga Ipek está a cargo.;https://image.tmdb.org/t/p/original/tg6pPVyW2MdFaSWTIbzF2BU7X7B.jpg;https://image.tmdb.org/t/p/original/1soeDwNiMNybDQRfTFFvtZrk7Q6.jpg;Drama, Comedia;5.591;2;51;https://www.themoviedb.org/tv/96342;T1:14|T2:37;Timuçin Esen (Ateş Hekimoğlu), Okan Yalabık (Orhan Yavuz), Ebru Özkan (İpek Tekin), Aytaç Şaşmaz (Emre Acar), Kaan Yıldırım (Mehmet Ali Çağlar), Damla Colbay (Zeynep Can);https://image.tmdb.org/t/p/w185/kjWFagwq3xzWjrvP7x8DiHHhAPp.jpg, https://image.tmdb.org/t/p/w185/xWbbpbln5lL2nlaPKDzGrxWe10E.jpg, https://image.tmdb.org/t/p/w185/ieS64eSgNSnacjRoLezq8jWFJQm.jpg, https://image.tmdb.org/t/p/w185/927zxZzlFyFvc3tYLqBbmtGjpaT.jpg, https://image.tmdb.org/t/p/w185/7a2OvUAMhDSIQ3IhXyJZWh4XqrL.jpg, https://image.tmdb.org/t/p/w185/6mwq4NRlSWPIznVSxsR4s0Gwn7X.jpg;;Holby City, The Resident, Casualty, Hawthorne, Emily Owens, M.D.;
Dulce Venganza;Dulce venganza;TMDB;2016 - 2016;Pelin tiene una vida perfecta: es bella, inteligente, tiene un excelente trabajo y está a punto de casarse con el hombre de sus sueños. Pero cuando Tolga, su novio, la abandona en el altar, todo parece derrumbarse. Un día, por la calle, una mujer le dice que su mala suerte en el amor se debe a que ella hizo daño a otra persona en el pasado, y que hasta obtener su perdón no logrará ser feliz. Haciendo un esfuerzo, Pelin recuerda a Tankut, un compañero de facultad tímido y poco agradaciado que estaba enamorado de ella, y del cual Pelin se aprovechaba para obtener favores y regalos. Tras ser rechazado cruelmente por ella, Tankut decidió abandonar la universidad.;https://image.tmdb.org/t/p/original/aJ0NZpjcMALBxhttC2SVcn0IoI4.jpg;https://image.tmdb.org/t/p/original/vzUnyumQoNe92tAejutt4pBOwva.jpg;Comedia, Drama;8.2;1;30;https://www.themoviedb.org/tv/66071;T1:30;Leyla Lydia Tuğutlu (Pelin Soylun), Furkan Andıç (Tankut Sinan Yılmaz), Çağrı Çıtanak (Bülent), Hazal Türesan (Başak), Cemre Gümeli (Simay), Zeyno Günenç (Süheyla Soylu);https://image.tmdb.org/t/p/w185/5hGBE9l7zmcmpWxCRuT9KWmWsUs.jpg, https://image.tmdb.org/t/p/w185/8SLsP6FPCgoJURPKSdzjvmu7Itc.jpg, https://image.tmdb.org/t/p/w185/nqTLDXza08h4iOl9Jsa5SmdiV6x.jpg, https://image.tmdb.org/t/p/w185/i6g679VSuNgGvcEb5ioJHFDXTdf.jpg, https://image.tmdb.org/t/p/w185/5SxWIKABjOvS9LibjY6L9IqosBH.jpg, https://image.tmdb.org/t/p/w185/8aXPhAYvMMKWg2OteEC2O9FGHRJ.jpg;Creador: Barış Erçetin | Director: Baris Ercetin;High Fidelity, Con amor, Claws, Tell Me Lies, La supervivencia de una chica con curvas;https://www.youtube.com/watch?v=ri3R6QGhu3c
El Beso del Vampiro;El Beso del Vampiro;TMDB;2002 - 2003;Ambientada en la ciudad ficticia de Maramores, la trama se centra en el personaje de Lívia, cuyo destino comienza a forjarse en el siglo XII cuando el vampiro Boris se enamora perdidamente de ella y decide conquistarla a cualquier precio, sin importar el tiempo ni el lugar. En la época medieval, Lívia es la princesa Cecília, Beto es el conde Rogério y Boris es el duque Boris. La historia actual comienza con la presentación de Lívia, su esposo Beto y sus hijos, Zeca, Tetê y Juninho. La felicidad de la familia se verá destruida, al igual que en las vidas pasadas de Lívia y Beto (la princesa Cecília y el conde Rogério), por la reaparición del vampiro Boris. Él quiere reclamar a Zeca, quien en realidad no es hijo de Lívia y Beto, sino su hijo con una amante. Tan pronto como nació, aún en la maternidad, Boris colocó a Zeca en el lugar del verdadero hijo de Lívia..;https://image.tmdb.org/t/p/original/fQsnoRyA9Fd0Zw6AUldw4sxrYyR.jpg;Sci-Fi & Fantasy, Drama;6.4;1;215;https://www.themoviedb.org/tv/8335;;;;;;;
